data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6410919,231,ETH3034,3034,30-May-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,Horo Gudru Welega,Abay Chomen,Fincha,9.5683,37.3668,1,Oromiya Media Network,International,"Students marched in Fincha town, Horo Guduru, after the cancellation of nation-wide exams following a leak of the results.",0,1575999999,ETH
6410920,231,ETH3035,3035,30-May-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,West Wellega,Gimbi,Gimbi,9.1667,35.8333,1,Oromiya Media Network,International,"Students marched in Gimbi, West Welega, after the cancellation of nation-wide exams following a leak of the results.",0,1575999999,ETH
6410922,231,ETH3037,3037,30-May-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,Horo Gudru Welega,Jarte Jardega,Jardega,9.8167,37.05,1,Oromiya Media Network,International,"Alibo school students marched to town in Jardega district, Horo Guduru, after the cancellation of nation-wide exams following a leak of the results.",0,1575999999,ETH
6411167,231,ETH3032,3032,29-May-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,Horo Gudru Welega,Guduru,Kobbo,9.45,37.45,1,Oromiya Media Network,International,People protested against the national agenda and government arrests in Kobbo.,0,1576000000,ETH
6411292,231,ETH3031,3031,28-May-16,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16,Eastern Africa,Ethiopia,Somali,Fafan,Jijiga,Togochale,9.5964,43.3331,1,Oromiya Media Network,International,People protested against the national agenda in Togowachale town on the Ethiopia-Somaliland border. Two people were injured when soldiers responded and 10 were arrested.,0,1576000000,ETH
6411168,231,ETH3029,3029,28-May-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Dire Dawa,Dire Dawa,Dire Dawa,Dire Dawa,9.5983,41.8468,1,Oromiya Media Network,International,People protested against the national agenda in Dire Dawa.,0,1576000000,ETH
6411516,231,ETH3028,3028,28-May-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,Illubabor,Alge Sache,Alge,7.8333,36.5333,1,Oromiya Media Network,International,"People protested against the national agenda in Alge, Illubabor.",0,1576000001,ETH
6410928,231,ETH3026,3026,27-May-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,Horo Gudru Welega,Guduru,Kobbo,9.45,37.45,1,Oromiya Media Network,International,People protested against the national agenda in Kobbo town.,0,1575999999,ETH
6411173,231,ETH3025,3025,26-May-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Addis Ababa,Addis Ababa,Yeka,Kotobe,9.0314,38.8323,1,Oromiya Media Network,International,"Police allegedly beat a student as he was returning to Kotebe College in Finfine, Addis Ababa. He sustained a severe injury. Students protested against the event the following day at the College.",0,1576000000,ETH
6410932,231,ETH3023,3023,24-May-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,West Shewa,Dendi,Ginchi,9.0333,38.15,1,Oromiya Media Network,International,"People protested against the national agenda in Ginchi town, Dendi District. Several people were arrested after the protest.",0,1575999999,ETH
6411298,231,ETH3022,3022,23-May-16,2016,1,Protests,Excessive force against protesters,Police Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16,Eastern Africa,Ethiopia,Oromia,West Harerghe,Mieso,Mieso,9.2351,40.7548,2,Oromiya Media Network,International,"People protested against the national agenda in Kurfa Sawa Village, Mieso District. Two people were severely injured when police intervened.",0,1576000000,ETH
