data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
4951532,231,ETH1509,1509,2010-12-30,2010,1,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,OLF: Oromo Liberation Front,,2,12,Eastern Africa,Ethiopia,Oromia,Bale,Lege Hida,Dalla,7.7167,40.9167,1,All Africa,Regional,"The OLA attacks two government positions, killing six soldiers total.",3,1552577542,ETH
4951784,231,ETH1508,1508,2010-12-24,2010,1,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,OLF: Oromo Liberation Front,,2,12,Eastern Africa,Ethiopia,Oromia,West Harerghe,Hawi Gudina,Darolebu,8.1667,40.7833,1,All Africa,Regional,The OLA attacks government positions and kills seven troops.,7,1552577542,ETH
4952080,231,ETH1506,1506,2010-12-15,2010,1,Battles,Armed clash,ONLF: Ogaden National Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Somali,Korahe,Kebridehar,Kebri Dehar,6.7400,44.2781,3,All Africa,Regional,ONLF claims victory in battle against army and a town is destroyed by fire.,0,1552577543,ETH
6341437,231,ETH1507,1507,2010-12-15,2010,1,Violence against civilians,Attack,Military Forces of Ethiopia (1995-2018),,1,Civilians (Ethiopia),,7,17,Eastern Africa,Ethiopia,Somali,Korahe,Kebridehar,Kebri Dehar,6.7400,44.2781,3,All Africa; Local Source,Subnational-Regional,ONLF claims that army burns parts of city in retaliation for loss of skirmish with ONLF,3,1574110418,ETH
4952103,231,ETH1505,1505,2010-12-14,2010,1,Battles,Armed clash,OLF: Oromo Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Oromia,Jimma,Kersa,Karsa,7.7167,37.0000,1,All Africa,Regional,"OLA claim to have defeated army, killing 14, wounding 7",14,1552577543,ETH
6312044,231,ETH1504,1504,2010-12-07,2010,1,Protests,Peaceful protest,Protesters (Eritrea),Afar Ethnic Group (Eritrea),6,,,0,60,Eastern Africa,Ethiopia,Addis Ababa,Addis Ababa,Addis Ababa,Addis Ababa,9.0330,38.7000,1,Sudan Tribune,Regional,Refugees protest genocidal policy of Eritrean government against Afar ethnic minority,0,1572403782,ETH
4952420,231,ETH1503,1503,2010-12-04,2010,1,Battles,Armed clash,OLF: Oromo Liberation Front,,2,Military Forces of Kenya (2002-2013),,8,28,Eastern Africa,Ethiopia,Oromia,Borena,Moyale,Moyale,3.5391,39.0490,1,Reuters,International,Kenya claims to have killed 5 OLA,5,1552577543,ETH
4952759,231,ETH1502,1502,2010-11-25,2010,1,Battles,Armed clash,ONLF: Ogaden National Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.2206,43.5572,1,All Africa,Regional,ONLF claim to have killed 35 soldiers in 3 days of fighting. Government denies,35,1552577543,ETH
4952784,231,ETH1500,1500,2010-11-24,2010,1,Battles,Armed clash,ONLF: Ogaden National Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.2206,43.5572,1,All Africa,Regional,"ONLA claim to have gained control of the road between Jijiga and Degeh Bur. Casualties reported, but unclear how many",0,1552577544,ETH
4952785,231,ETH1501,1501,2010-11-24,2010,1,Battles,Armed clash,ONLF: Ogaden National Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.2206,43.5572,1,All Africa,Regional,ONLF claim to have killed 35 soldiers in 3 days of fighting. Government denies,0,1552577544,ETH
