Country,Population(millions),Working_age_population(%),Participation_rate(%),Unemployment_rate(%),Men(15_24),women(15_24),Men(25-64),Women(25-64),Average_schooling (years)_total,Skills_as_a_constraint (%),Ed_attainment_Reading,Ed_attainment_Mathamatics,Ed_attainment_Mathamatics,employment_sector_primary,employment_sector_secondary,employment_sector_tertiary,employment_civil_service,Wage employment,Self-employment      ,Farmng,Employment in urban areas (%),Accountant ,Chemical_engineer,Bus_driver,Sewing_machine_operator,Working_poor (% below 1.25 PPP dollars a day),Satisfied with life (% in latest survey)_Employed,Satisfied with life (% in latest survey)_Unemployed,Satisfied with life (% in latest survey)_Out_of_Labor_Force,Labor share (% of national income),Gender gap in earnings (women/men),Value_added_per_worker_primary,Value_added_per_worker_secondary,Value_added_per_worker_tertiary,Civic participation (% in latest survey)_employed,Civic participation (% in latest survey)_unemployed,Civic participation (% in latest survey)_out_of_labor_force,Wage_inEquality (90%/10%ratio),Youth_unemployment_Men,Youth_unemployment_woman,Youth not in school or at work (% of youth cohort)_Men,Youth not in school or at work (% of youth cohort)_women,Core_ILO_conventions_ratified,Minimum_wage_(2005_dollars_per_year),Separation cost (weeks of salary)after_one_year,Separation cost (weeks of salary)after_10_years,Union_Membership(%wage_employment),Labor market policies (spending in % of GDP),Social_security_contributions(%of_salary),Social_security_coverage,conventions_on_migration_ratified,Immigrants_(%of population),Emmigrants_(%native_population),Remittances(%GDP),,,,,,
Bosnia and Herzegovina,3.8,  ,  ,27.2,  ,  ,  ,  ,,19,  ,  ,  ,,,,  , , , ,   ,  ,  ,  ,  ,,58.7,38.2,49.1,59.9,,,,,13.9,16.1,18.0,,44.7,51.9,,,8,4356,2.0,16.4,,,  , 24.5 ,3,0.7,28.1,11.4,,,,,,
Botswana,2.0, 59.9 , 68.5 ,, 45.2 , 37.4 , 88.6 , 74.0 ,9.6,32,  ,  ,  ,25.5,18.1,56.5, 15.2 ,68.4,12.2,19.3,   ,  ,  ,  ,  ,,,,,,,,,,17.3,12.3,,28.3,,,25.7,38.9,8,1164,6.7,42.0,,,  ,  ,0,5.7,3.2,0.7,,,,,,
Brazil,194.9, 67.9 , 73.9 ,8.3, 71.3 , 54.0 , 90.1 , 66.6 ,7.5,69, 412 , 386 , 405 ,17.0,22.2,60.9, 11.0 ,66.5,21.7,11.8, 83.7 ,  ,  ,  ,  ,6.0,85.6,74.2,82.3,49.1,0.89," 5,048 "," 18,599 "," 16,888 ",8.4,11.3,10.4,6.0,13.9,23.1,12.1,24.8,7,3000,5.9,20.9,29,, 29.3 , 59.3 ,1,0.4,0.7,0.2,,,,,,
Bulgaria,7.5, 68.9 , 66.5 ,10.2, 33.5 , 24.2 , 79.5 , 70.6 ,9.9,21, 429 , 428 , 439 ,6.8,33.3,59.9, 13.9 ,86.4,10.0,3.6, 50.3 ,  ,  ,  ,  ,,51.9,31.3,38.3,42.5,0.82," 11,062 "," 13,748 "," 15,240 ",21.3,23.0,22.9,4.5,24.1,21.7,17.4,29.6,8,1788,8.6,8.6,20,, 21.3 , 78.7 ,0,1.4,13.9,2.9,,,,,,
Burkina Faso,16.5,  ,  ,,  ,  ,  ,  ,,37,  ,  ,  ,,,,  , , , ,   ,  ,  ,  ,  ,,48.7,37.1,47.1,22.0,,,,,12.3,13.3,17.5,,,,,,8,756,5.4,16.3,,, 18.0 ,  ,3,6.3,9.3,1.1,,,,,,
Burundi,8.4,  ,  ,,  ,  ,  ,  ,3.3,,  ,  ,  ,,,,  , , , ,   ,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,8,36,4.3,26.0,,, 9.5 ,  ,0,0.7,4.1,1.4,,,,,,
Cambodia,14.1, 63.4 , 84.8 ,1.7, 78.4 , 75.0 , 95.5 , 83.7 ,6.0,,  ,  ,  ,60.1,13.1,26.8,  ,25.9,19.2,54.9, 17.4 ,  ,  ,  ,  ,23.0,,,,,0.99, 615 ," 3,359 "," 2,762 ",,,,8.6,3.5,3.3,3.6,10.6,8,444,4.3,34.4,,,  ,  ,0,2.4,2.5,3.3,,,,,,
Cameroon,19.6,  ,  ,,  ,  ,  ,  ,6.1,38,  ,  ,  ,,,,  , , , ,   ,  ,  ,  ,  ,,,,,20.8,,,,,,,,,,,,,8,684,5.8,23.8,,, 10.1 ,  ,2,1.0,1.4,0.9,,,,,,
Canada,34.1, 69.4 , 77.8 ,8.0, 64.4 , 64.6 , 85.6 , 76.5 ,12.1,, 524 , 527 , 529 ,2.4,21.5,76.5, 18.6 , , , ,   ," 41,143 ",  ," 27,400 "," 13,159 ",,91.4,78.7,90.7,,," 84,494 "," 129,063 "," 76,038 ",44.9,36.5,40.3,,17.1,12.4,,,5,17952,2.0,18.0,30,1.33, 14.0 , 87.4 ,0,21.1,4.2,,,,,,,
Central African Republic,4.4,  ,  ,,  ,  ,  ,  ,3.6,,  ,  ,  ,,,,  , , , ,   ,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,8,432,21.7,21.7,,,  ,  ,0,1.8,2.9,,,,,,,
Chad,11.2,  ,  ,,  ,  ,  ,  ,,53,  ,  ,  ,,,,  , , , ,   ,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,8,780,4.3,20.6,,, 8.5 ,  ,0,3.5,2.2,,,,,,,
Chile,17.1, 68.7 , 64.8 ,8.1, 43.8 , 30.4 , 90.5 , 58.6 ,10.2,41, 449 , 421 , 447 ,11.2,23.2,65.6, 9.3 ,76.3,20.8,3.0, 88.5 ,  ,  ,  ,  ,1.0,80.1,73.2,74.6,42.3,0.86," 7,742 "," 39,481 "," 21,281 ",14.1,18.5,10.2,5.5,16.6,21.7,17.6,26.8,8,0,8.6,47.6,14,3.13, 18.0 , 57.7 ,1,1.9,3.6,0.0,,,,,,
China,1340.9, 74.5 , 71.0 ,2.9, 59.6 , 55.1 , 90.8 , 74.1 ,8.2,,  ,  ,  ,36.7,28.7,34.6,  ,,,25.8, 45.6 ,  ,  ,  ,  ,,72.5,65.8,74.9,,," 1,649 "," 10,799 "," 7,788 ",52.7,43.1,53.0,4.0,,,12.8,11.0,4,1728,8.6,47.6,79,0.06, 32.0 , 33.5 ,0,0.1,0.6,0.9,,,,,,
Colombia,46.3, 64.5 , 71.9 ,11.6, 61.9 , 43.4 , 94.2 , 65.9 ,7.7,45, 413 , 381 , 402 ,18.5,19.8,61.7, 5.3 ,46.4,41.6,12.0, 78.4 ,  ,  ,  ,  ,8.0,91.3,84.1,89.9,35.0,0.91," 5,171 "," 23,951 "," 12,101 ",16.0,12.5,11.4,6.6,18.2,29.9,14.5,33.3,8,2628,4.3,30.0,,0.00, 44.8 , 27.8 ,1,0.2,4.4,1.4,,,,,,
"Congo, Dem. Rep.",66.0,  ,  ,,  ,  ,  ,  ,3.5,65,  ,  ,  ,,,,  , , , ,   ,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,8,696,4.2,16.8,,, 8.5 , 14.2 ,0,0.7,1.4,,,,,,,
"Congo, Rep.",4.0,  ,  ,,  ,  ,  ,  ,6.0,51,  ,  ,  ,,,,  , , , ,   ,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,8,1296,4.3,17.8,,, 14.3 , 9.7 ,0,3.5,5.1,0.1,,,,,,
Costa Rica,4.7, 68.5 , 65.3 ,7.8, 57.8 , 36.1 , 93.1 , 54.2 ,8.7,38,  ,  ,  ,11.9,20.0,68.1, 11.7 ,72.6,23.2,4.2, 62.1 ," 12,518 "," 12,011 "," 5,973 "," 2,579 ",3.0,,,,55.4,," 7,964 "," 16,232 "," 13,886 ",10.1,4.6,6.9,,9.6,13.4,12.8,27.1,8,3852,7.1,29.5,,0.60, 23.8 , 58.6 ,0,10.5,2.9,1.5,,,,,,
Cote d’Ivoire,19.7,  ,  ,,  ,  ,  ,  ,,27,  ,  ,  ,,,,  , , , ,   ,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,8,0,5.6,22.8,,, 11.5 ,  ,0,12.2,6.3,0.8,,,,,,
